#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
friend_help_request_timer;Already Requested a Friend's Help;A déjà demandé l'aide d'un ami;Bereits einen Freund um Hilfe gebeten;;Already Requested a Friend's Help;;;;;;;;;x
gain_demesne_obj_timer;Can't use the Increase Demesne Objective;Ne peult point utiliser l'objectif pour agrandir le domaine;Kann das vergrößere Reich Ziel nicht nutzen;;Can't use the Increase Demesne Objective;;;;;;;;;x
holy_truce_timer;Truce;Tresve;Waffenruhe;;Truce;;;;;;;;;x
holy_truce_timer_desc;This character cannot initiate or be the target of a war until this modifier wears off.;Ce personnage ne peult point initier ou estre la cible d'une guerre jusqu'à ce que ce modificateur se dissipe.;Dieser Charakter kann weder das Ziel eines Krieges werden, noch einen Krieg starten, bis dieser Modifikator abläuft.;;This character cannot initiate or be the target of a war until this modifier wears off.;;;;;;;;;x
holy_war_timer;Recent Holy War;Guerre sainte récente;kürzlicher Heiliger Krieg;;Recent Holy War;;;;;;;;;x
indulgence_timer;Recently bought an indulgence;A récemment acheté une indulgence;Kürzlich Ablass erworben;;Recently bought an indulgence;;;;;;;;;x
loan_timer;Loan Taken;Emprunt Contracté;Genommenes Darlehen;;Loan Taken;;;;;;;;;x
loan_timer_desc;A loan will be due for repayment at the expiration date of this modifier.;Un emprunt devra estre remboursé à la date d'expiration de ce modificateur.;Ein Darlehen muss mit Ablauf dieses Modifikators zurückgezahlt werden;;A loan will be due for repayment at the expiration date of this modifier.;;;;;;;;;x
loan_timer_jews;Jewish Loan Taken;Emprunt Juif Contracté;Jüdisches Darlehen genommen;;Jewish Loan Taken;;;;;;;;;x
loan_timer_jews_desc;A loan will be due to the Jewish merchants for repayment at the expiration date of this modifier.;Un emprunt devra estre remboursé aulx marchands juifs à la date d'expiration de ce modificateur.;Ein Darlehen muss an die jüdischen Händler mit Ablauf dieses Modifikators zurückgezahlt werden.;;A loan will be due to the Jewish merchants for repayment at the expiration date of this modifier.;;;;;;;;;x
lower_decadence_obj_timer;Can't use the Lower Decadence Objective;Ne peult point utiliser l'Objectif de Diminution de la Décadence;Kann nicht das verringere Dekadenz Ziel nutzen;;Can't use the Lower Decadence Objective;;;;;;;;;x
peace_declared_10_timer;Peaceful Reign;Règne paisible;Friedliche Herrschaft;;Peaceful Reign;;;;;;;;;x
plot_reveal_timer;Already Revealed a Plot;A déjà révélé un complot;Bereits eine Verschwörung aufgedeckt;;Already Revealed a Plot;;;;;;;;;x
ramadan_timer;Recently observed Ramadan;A récemment fait le Ramadan;Kürzlich Ramadan befolgt.;;Recently observed Ramadan;;;;;;;x
ransom_timer;Demanding Ransoms;Demander les rançons;Verlangt Freikäufe;;Demanding Ransoms;;;;;;;;;
sanction_timer;Recently requested sanction;Sanction récemment demandée;Kürzlich erbetete Sanktion;;Recently requested sanction;;;;;;;;;x
victory_timer;Recently victorious in a war;A récemment remporté une guerre;Kürzlich siegreich in einem Krieg;;Recently victorious in a war;;;;;;;;;x
shattered_realm_cb_timer;Shattered Realm CB Expiry;Shattered Realm CB Expiry;Zerbrochenes Reich Kriegsgrund Ablauf;;Shattered Realm CB Expiry;;;;;;;;;x
shattered_realm_cb_timer_desc;The shattered realm CB expires when this modifiers expires.;The shattered realm CB expires when this modifiers expires.;Der zerbrochene Reich Kriegsgrund läuft ab, wenn dieser Modifikator abläuft.;;The shattered realm CB expires when this modifiers expires.;;;;;;;;;x
